label,group_idx,mos_mean,mos_min,mos_max,mmd_score
MMD_sd_vae_L11_g1.0e-04,25,51.956543092181825,51.85205774272727,52.126720309090906,5.893782599741826e-06
MMD_sd_vae_L11_g1.0e-04,26,52.81584878981819,52.30133809090909,53.02329102272727,8.357581464224495e-06
MMD_sd_vae_L11_g1.0e-04,27,53.511711584,53.11169118954546,54.35688324090909,1.1855616321554407e-05
MMD_sd_vae_L11_g1.0e-04,28,54.59851262427272,54.43010616227273,54.72388539863636,8.903120033210143e-06
MMD_sd_vae_L11_g1.0e-04,29,55.56896742418182,55.23867115454546,55.82518654818182,8.927057024266105e-06
MMD_sd_vae_L11_g1.0e-04,30,56.35413947490908,56.236087309090905,56.4284854,6.60620480630314e-06
MMD_sd_vae_L11_g1.0e-04,31,56.737218711727266,56.43083487727272,56.87784920000001,6.40443067823071e-06
MMD_sd_vae_L11_g1.0e-04,32,56.97399885154546,56.88495511818182,57.06027285454545,7.902586730779149e-06
MMD_sd_vae_L11_g1.0e-04,33,57.36445707399999,57.08577673045454,57.715692645,1.2763751328748185e-05
MMD_sd_vae_L11_g1.0e-04,34,58.19996810827272,57.94736867727273,58.48494007,7.846618245821446e-06
MMD_sd_vae_L11_g1.0e-04,35,59.00553475645454,58.90741873181818,59.15176404636364,9.547856279823463e-06
MMD_sd_vae_L11_g1.0e-04,36,59.43821239872727,59.165360129545455,59.61907620909091,3.6663541322923265e-06
MMD_sd_vae_L11_g1.0e-04,37,59.84679539063636,59.64024705,60.13491826227273,9.65354593063239e-06
MMD_sd_vae_L11_g1.0e-04,38,60.99643894654546,60.66603184545455,61.257236485,6.776413556508487e-06
MMD_sd_vae_L11_g1.0e-04,39,61.48400721527272,61.38288141818182,61.612018317727276,7.980865120771341e-06
MMD_sd_vae_L11_g1.0e-04,40,61.886854131727276,61.66026577136363,62.140166177272725,9.537989171803929e-06
MMD_sd_vae_L11_g1.0e-04,41,62.4737095229091,62.30800517363637,62.56153540454545,8.931310730986297e-07
MMD_sd_vae_L11_g1.0e-04,42,62.789370462,62.62842450590909,63.033077886363635,9.535808203509077e-06
MMD_sd_vae_L11_g1.0e-04,43,63.41987266700001,63.2958711590909,63.52993807136364,5.888094165129587e-06
MMD_sd_vae_L11_g1.0e-04,44,63.69902262627272,63.601648069090906,63.89873966363636,8.68052120495122e-06
MMD_sd_vae_L11_g1.0e-04,45,63.98644783854545,63.92419218818182,64.02835174090909,7.071573236316908e-06
MMD_sd_vae_L11_g1.0e-04,46,64.21601700381818,64.1043883409091,64.32671434181817,9.594303264748305e-06
MMD_sd_vae_L11_g1.0e-04,47,64.67885966363636,64.40631527727272,64.88276691590909,9.706837772682775e-06
MMD_sd_vae_L11_g1.0e-04,48,65.06229613163636,64.91428311818181,65.15700578272727,9.89940690487856e-06
MMD_sd_vae_L11_g1.0e-04,49,65.57325001118183,65.26560826818182,65.77319434545456,9.664189747127239e-06
MMD_sd_vae_L11_g1.0e-04,50,66.10387056363636,65.79643795909091,66.41367993636364,9.560392754792701e-06
MMD_sd_vae_L11_g1.0e-04,51,66.6226875630909,66.49486482500001,66.69915260454546,9.360789590573404e-06
MMD_sd_vae_L11_g1.0e-04,52,67.1010070179091,66.84640655909091,67.33497136227273,-4.9996287998510525e-06
MMD_sd_vae_L11_g1.0e-04,53,67.73512154418182,67.50431248636363,67.89158320909091,6.976489203225356e-06
MMD_sd_vae_L11_g1.0e-04,54,68.1328889490909,67.98637594090908,68.23565684545454,1.1030773748643696e-05
MMD_sd_vae_L11_g1.0e-04,55,68.33264022563637,68.26595938409092,68.41746199090909,8.423364306509029e-06
MMD_sd_vae_L11_g1.0e-04,56,68.67576851445455,68.46063733181818,69.04567613727274,7.498297236452345e-06
MMD_sd_vae_L11_g1.0e-04,57,69.09155621636364,69.05974111818182,69.10780212727273,8.036849976633675e-06
MMD_sd_vae_L11_g1.0e-04,58,69.23145481890909,69.12065298636364,69.35791935818182,1.1220794476685114e-05
MMD_sd_vae_L11_g1.0e-04,59,69.82775094754545,69.61843814545455,69.97248817863637,1.7532929632579908e-05
MMD_sd_vae_L11_g1.0e-04,60,70.14619312563636,70.05721009181819,70.20511073181818,9.690673323348165e-06
MMD_sd_vae_L11_g1.0e-04,61,70.44229148836364,70.32331571818182,70.6102672090909,9.356669579574373e-06
MMD_sd_vae_L11_g1.0e-04,62,70.82376260363637,70.7436578590909,70.86294127272727,8.266591066785622e-06
MMD_sd_vae_L11_g1.0e-04,63,71.017826289,70.88488886772727,71.16676672727273,1.146278555097524e-05
MMD_sd_vae_L11_g1.0e-04,64,71.26426175700001,71.17873871818182,71.36296618181818,8.239120688813273e-06
MMD_sd_vae_L11_g1.0e-04,65,71.83902143318183,71.46931471818182,72.09644175681818,6.1274304243852384e-06
MMD_sd_vae_L11_g1.0e-04,66,72.25006437972726,72.15469048045455,72.3529890590909,0.00020073265477549285
MMD_sd_vae_L11_g1.0e-04,67,72.58202422945456,72.35690482818183,72.83995069636363,3.711606404976919e-05
MMD_sd_vae_L11_g1.0e-04,68,73.1044481738182,72.89617321363636,73.33471177272727,8.459641321678646e-06
MMD_sd_vae_L11_g1.0e-04,69,73.40747646954546,73.33981687045456,73.44619574090909,8.78340142662637e-06
