layer,layer_name,gamma,spearman_rho,pval,strict_mono,kendall_tau
0,conv_in,4.13634368406327e-09,0.05299331530594523,0.00017761857293913195,0.277,0.0998
0,conv_in,4.2133217438472886e-09,0.05300065153377511,0.0001772509048219489,0.278,0.1025
0,conv_in,4.291732378422149e-09,0.052869643823641795,0.00018392552462068165,0.276,0.1021
0,conv_in,4.371602248248502e-09,0.05278371194753969,0.00018843112675876697,0.279,0.1011
0,conv_in,4.45295850994266e-09,0.0528902876914309,0.00018285830603298846,0.277,0.1009
0,conv_in,4.5358288255101815e-09,0.05294349374540141,0.00018013449969596522,0.28,0.103
0,conv_in,4.620241371751313e-09,0.052895974396867905,0.00018256534650377797,0.279,0.1013
0,conv_in,4.706224849841272e-09,0.05286901917661479,0.000183957907831848,0.279,0.0984
0,conv_in,4.793808495089107e-09,0.05289992600336585,0.0001823620331407619,0.28,0.1043
0,conv_in,4.883022086877885e-09,0.05295306400708632,0.00017964862900160723,0.279,0.1027
0,conv_in,4.9738959587900574e-09,0.05291407012980022,0.00018163604903534997,0.278,0.1016
0,conv_in,5.066461008921269e-09,0.05292612117672439,0.00018101964175332034,0.278,0.0979
0,conv_in,5.1607487103859185e-09,0.05292325818832199,0.00018116590439304703,0.281,0.1035
0,conv_in,5.256791122018419e-09,0.052924148743825505,0.00018112039632818368,0.278,0.1016
0,conv_in,5.354620899273613e-09,0.05293083722653703,0.00018077895298723148,0.283,0.1032
0,conv_in,5.454271305329825e-09,0.052825957490912887,0.00018620329185764725,0.278,0.1008
0,conv_in,5.555776222398878e-09,0.05292305425443731,0.0001811763270821692,0.28,0.0992
0,conv_in,5.659170163246254e-09,0.05291589355509812,0.00018154265490275483,0.28,0.1001
0,conv_in,5.7644882829258735e-09,0.05281236712109312,0.00018691727035945418,0.277,0.0974
0,conv_in,5.8717663907332614e-09,0.052933329562140294,0.00018065187543113366,0.278,0.1016
0,conv_in,5.981040962380932e-09,0.052925528717981535,0.00018104989982093108,0.279,0.0973
0,conv_in,6.092349152400712e-09,0.052916360323971096,0.00018151875469591867,0.28,0.0998
0,conv_in,6.205728806776513e-09,0.052891663210085406,0.00018278740355424128,0.282,0.0988
0,conv_in,6.321218475812448e-09,0.05293252430954676,0.00018069292393246107,0.28,0.0956
0,conv_in,6.4388574272404256e-09,0.05291061894676677,0.00018181293902452418,0.282,0.0962
0,conv_in,6.558685659571422e-09,0.05291914292779396,0.00018137633695404918,0.278,0.1006
0,conv_in,6.680743915695615e-09,0.05293059734218741,0.00018079118848310423,0.283,0.0995
0,conv_in,6.8050736967352206e-09,0.05291952334653079,0.00018135687472809533,0.283,0.0992
0,conv_in,6.9317172761554e-09,0.05291109310832087,0.00018178862633783273,0.285,0.0982
0,conv_in,7.06071771413778e-09,0.05289360407066952,0.00018268740391193188,0.282,0.0976
0,conv_in,7.192118872221178e-09,0.052866802706273266,0.00018407285825506857,0.281,0.0962
0,conv_in,7.32596542821523e-09,0.05292127831935381,0.00018126711571459886,0.279,0.0976
0,conv_in,7.462302891391123e-09,0.052927833258290605,0.00018093222899262173,0.28,0.0982
0,conv_in,7.601177617955322e-09,0.05294419092888857,0.00018009906285707073,0.28,0.0994
0,conv_in,7.742636826811278e-09,0.052966431457633176,0.00017897204122443528,0.284,0.0994
0,conv_in,7.88672861561414e-09,0.05293208926986875,0.00018071510413285018,0.282,0.0956
0,conv_in,8.033501977124735e-09,0.05296936828340313,0.00017882371631751945,0.284,0.0991
0,conv_in,8.183006815867407e-09,0.05287652772215285,0.00018356900136442462,0.284,0.0966
0,conv_in,8.335293965098187e-09,0.05291948550218106,0.00018135881075743982,0.283,0.0954
0,conv_in,8.490415204088756e-09,0.052942320561603064,0.00018019414574333928,0.282,0.0966
0,conv_in,8.648423275731709e-09,0.05287524699589064,0.00018363528210579722,0.284,0.0952
0,conv_in,8.80937190447399e-09,0.05296636798374266,0.0001789752482609123,0.283,0.0988
0,conv_in,8.973315814583538e-09,0.05287891887495271,0.00018344531348292908,0.286,0.0971
0,conv_in,9.140310748756223e-09,0.05291276854607436,0.00018170274255227472,0.283,0.0954
0,conv_in,9.310413487069086e-09,0.052937259807806336,0.00018045165325317292,0.282,0.0993
0,conv_in,9.483681866285909e-09,0.05291932889151544,0.00018136682280316097,0.285,0.0963
0,conv_in,9.660174799522645e-09,0.05291418029246994,0.00018163040532531938,0.282,0.0934
0,conv_in,9.839952296278247e-09,0.05290080503671063,0.0001823168351047493,0.281,0.0942
0,conv_in,1.0023075482838643e-08,0.05290526484474625,0.00018208768337531895,0.285,0.0959
0,conv_in,1.0209606623060476e-08,0.05292995139945305,0.00018082413918630853,0.283,0.0955
0,conv_in,1.0399609139541204e-08,0.05291236217449135,0.00018172356986109446,0.289,0.0949
0,conv_in,1.05931476351837e-08,0.05290525796027605,0.00018208803690117836,0.283,0.0957
0,conv_in,1.0790287915161835e-08,0.052898498086897935,0.00018243547603507054,0.283,0.0948
0,conv_in,1.099109700929496e-08,0.05290848759349236,0.00018192226214999247,0.284,0.0946
0,conv_in,1.1195643194838794e-08,0.05290603864243794,0.00018204795204022675,0.283,0.0958
0,conv_in,1.1403996019700331e-08,0.05295625204501299,0.00017948704985517696,0.282,0.0955
0,conv_in,1.1616226326085019e-08,0.05289677603723829,0.00018252408423838535,0.284,0.0954
0,conv_in,1.183240627458378e-08,0.052905591184578854,0.0001820709261708441,0.284,0.0948
0,conv_in,1.2052609368708414e-08,0.05292601912215472,0.00018102485354795712,0.285,0.0944
0,conv_in,1.2276910479883604e-08,0.052947623386904334,0.00017992469145354016,0.285,0.0951
0,conv_in,1.2505385872903913e-08,0.05288295622761814,0.0001832366498797215,0.286,0.0952
