label,group_idx,score_mean,score_min,score_max,mmd_score
GramMMD_sd_vae_L11_g1.0e-04,20,0.1844818890094757,0.1843724548816681,0.18457722663879395,9.130142643698491e-06
GramMMD_sd_vae_L11_g1.0e-04,21,0.18468153476715088,0.1846100389957428,0.18476298451423645,-8.422148312092759e-06
GramMMD_sd_vae_L11_g1.0e-04,22,0.1848553568124771,0.18476682901382446,0.1849561333656311,-2.126567778759636e-06
GramMMD_sd_vae_L11_g1.0e-04,23,0.18509390950202942,0.18496525287628174,0.1851716935634613,2.0165680325590074e-06
GramMMD_sd_vae_L11_g1.0e-04,24,0.18526418507099152,0.18517965078353882,0.18531256914138794,-6.696791388094425e-06
GramMMD_sd_vae_L11_g1.0e-04,25,0.18548054993152618,0.1853778064250946,0.1855689287185669,-9.91659180726856e-06
GramMMD_sd_vae_L11_g1.0e-04,26,0.18565647304058075,0.18560045957565308,0.18572932481765747,2.4438313630525954e-06
GramMMD_sd_vae_L11_g1.0e-04,27,0.1858339160680771,0.18573212623596191,0.1859220564365387,5.4213123803492635e-06
GramMMD_sd_vae_L11_g1.0e-04,28,0.18604551255702972,0.18593847751617432,0.18615488708019257,5.326155587681569e-07
GramMMD_sd_vae_L11_g1.0e-04,29,0.18624171614646912,0.18616387248039246,0.1862986981868744,-7.110038495738991e-07
GramMMD_sd_vae_L11_g1.0e-04,30,0.18641285598278046,0.1862991601228714,0.18652185797691345,2.4236678655142896e-06
GramMMD_sd_vae_L11_g1.0e-04,31,0.18665581941604614,0.1865229606628418,0.18676680326461792,-1.6786834748927504e-06
GramMMD_sd_vae_L11_g1.0e-04,32,0.18686047196388245,0.1867677867412567,0.18695446848869324,-1.0448460670886561e-05
GramMMD_sd_vae_L11_g1.0e-04,33,0.18702445924282074,0.18695688247680664,0.18711432814598083,2.6315328796044923e-06
GramMMD_sd_vae_L11_g1.0e-04,34,0.18719962239265442,0.18711671233177185,0.1873028427362442,-2.5425306375836954e-06
GramMMD_sd_vae_L11_g1.0e-04,35,0.187395378947258,0.18731242418289185,0.18745070695877075,-8.633083780296147e-06
GramMMD_sd_vae_L11_g1.0e-04,36,0.18752458691596985,0.18745264410972595,0.18758907914161682,1.4697907317895442e-06
GramMMD_sd_vae_L11_g1.0e-04,37,0.18767185509204865,0.18759070336818695,0.18776658177375793,-2.3076790967024863e-06
GramMMD_sd_vae_L11_g1.0e-04,38,0.1878761649131775,0.1877768635749817,0.18795818090438843,1.9064413208980113e-05
