backbone,layer,k,spearman,kendall,spearman_level,mono_strict_rate,mono_partial_rate,mono_strict_n,n_total,score_lv1,score_lv2,score_lv3,score_lv4,score_lv5
SD-VAE,10,81,0.5974367726529283,0.41708214712627456,0.470186065586957,0.7135802469135802,0.8577777777777778,1445,2025,0.9860286267788047,0.9914774722050289,0.9958019660612301,1.0021782246470947,1.007902667545537
SD-VAE,11,1,0.7529076124548485,0.5599178448434347,0.5770587475158595,0.7911111111111111,0.9022222222222223,1602,2025,0.4238631032257525,0.7426454657534408,0.9874131549503627,1.315115267148077,1.5835758652751504
SD-VAE,11,5,0.7099016175815976,0.5135269206842908,0.5473676396794547,0.7037037037037037,0.882962962962963,1425,2025,0.8455921143584275,0.9171979126969809,0.9721965802089126,1.049271237420709,1.1149573497946172
SD-VAE,11,10,0.6761911524089517,0.48017796853170897,0.5271187274220408,0.677037037037037,0.8676543209876543,1371,2025,0.911934562822755,0.9505762642124403,0.9806297294827185,1.0232488118074494,1.0601664806892264
SD-VAE,11,25,0.6294939345911426,0.43863150714621185,0.49686292857046893,0.6528395061728395,0.8498765432098765,1322,2025,0.9599608786917097,0.9770383673114836,0.9904684269463898,1.010180062782282,1.027268588692636
SD-VAE,11,81,0.587515977248017,0.4088975975555653,0.46564876071409894,0.7071604938271605,0.8597530864197531,1432,2025,0.9853046164099516,0.9908069888610894,0.9952839721918859,1.001948190597825,1.007945295603361
SD-VAE,12,1,0.7510571535452487,0.5580450049204005,0.5747730414467392,0.7911111111111111,0.9037037037037037,1602,2025,0.4175560973597299,0.7326901130234373,0.9742635694495309,1.3009499737501087,1.5726119157298342
SD-VAE,12,5,0.703543468727989,0.5071661476352929,0.542204101830346,0.7002469135802469,0.88,1418,2025,0.8392155592880027,0.9103805443297507,0.9653223323720985,1.043661627776249,1.1115153977649532
SD-VAE,12,10,0.6646643430336415,0.4695291672217679,0.5186830983486886,0.6622222222222223,0.8577777777777778,1341,2025,0.9074861473736129,0.946019469732839,0.9762646295421137,1.0198587135373007,1.0583258679793293
SD-VAE,12,25,0.6107714240875809,0.42264304001006625,0.4836518689394205,0.6414814814814814,0.8434567901234568,1299,2025,0.9571772282522172,0.9743754392050512,0.9881212794350738,1.0087126035096718,1.0269846289800788
SD-VAE,12,81,0.5599555010816106,0.38696329476434427,0.444461358990687,0.7017283950617283,0.8548148148148148,1421,2025,0.983871281078173,0.9894474553439265,0.9940838920650427,1.0011421135983327,1.007709910134626
SD-VAE,13,1,0.7542154036260436,0.5618049122380521,0.5765272896627867,0.7955555555555556,0.9032098765432098,1611,2025,0.42756793648250296,0.7442972502895702,0.9888872997664028,1.3153804190673108,1.5840234875653063
SD-VAE,13,5,0.7084472069845644,0.5122367619851831,0.5448880466940995,0.7106172839506173,0.8819753086419753,1439,2025,0.843135576915999,0.9147580097458639,0.9702604206775183,1.0484999597891236,1.1150901671817366
SD-VAE,13,10,0.6730987259751051,0.47730842536432777,0.522946185696887,0.668641975308642,0.8706172839506173,1354,2025,0.9099957992541574,0.9487762717878946,0.9793007628770155,1.0228275023339768,1.0605408909311724
SD-VAE,13,25,0.6221024198046381,0.4318966269261284,0.48963136875738045,0.6345679012345679,0.8493827160493828,1285,2025,0.9585888419654324,0.9758077494557987,0.9897090648560073,1.0101286106986627,1.0279358610170728
SD-VAE,13,81,0.5766457455085297,0.4003565164167488,0.4557956666251425,0.705679012345679,0.860246913580247,1429,2025,0.9844684070628884,0.990060840391878,0.9947320353245134,1.0017332500493685,1.00811175271022
SD-VAE,14,1,0.7569472890669662,0.5652693206912998,0.5777161915892787,0.7930864197530865,0.9041975308641975,1606,2025,0.42710034671142544,0.7464598460277108,0.9908633043546997,1.3169180535490568,1.5856944734215799
SD-VAE,14,5,0.7145228871888684,0.5193960479783577,0.5483944645891895,0.7234567901234568,0.8879012345679013,1465,2025,0.8424500942200819,0.9139311040730931,0.9694628316672607,1.0471184990690097,1.1135129029601363
SD-VAE,14,10,0.68282104499954,0.4870266003962682,0.5287023858319477,0.6795061728395062,0.8725925925925926,1376,2025,0.9096528756144574,0.9480896718614948,0.9782843561019917,1.021607406398509,1.059165560010626
SD-VAE,14,25,0.6355647432125658,0.44357313404217646,0.4988755766033246,0.6602469135802469,0.8523456790123457,1337,2025,0.9586074272906489,0.9756094379753629,0.9892887591590578,1.0095143748112565,1.027198204134183
SD-VAE,14,81,0.5946016747235053,0.41406818211676627,0.46732590359310694,0.7111111111111111,0.8572839506172839,1440,2025,0.9850176017780945,0.9905076213299912,0.9951018970339435,1.0020145256147706,1.0083021723223096
SD-VAE,15,1,0.7732939206794294,0.5822994185820767,0.5845320797673998,0.8,0.9091358024691358,1620,2025,0.4327784843349191,0.7566873966471331,1.0052349056122953,1.3364618907600863,1.60315933850604
SD-VAE,15,5,0.7397089855504668,0.5452879835375537,0.5591517485109184,0.72,0.8962962962962963,1458,2025,0.8529245896015869,0.9250495791227081,0.9809830936221655,1.0574418040388367,1.1199487279548437
SD-VAE,15,10,0.7136249155061266,0.5171177481203897,0.5422961527575905,0.6879012345679012,0.88,1393,2025,0.9176870792250374,0.9561120503771761,0.9863089153238461,1.0280700632747544,1.062610448565001
SD-VAE,15,25,0.6769192262798814,0.48073612399291077,0.5190191171199524,0.6730864197530865,0.8622222222222222,1363,2025,0.9630323832372628,0.9798446658687826,0.9933333473328121,1.012387351741715,1.0281943646712188
SD-VAE,15,81,0.642225742854807,0.4546545187716365,0.49246690797310483,0.745679012345679,0.8755555555555555,1510,2025,0.986701184436016,0.9921694553229105,0.9966710491885555,1.0031370259910908,1.0086522800924065
SD-VAE,16,1,0.5502891162908647,0.385406289738442,0.4503551218583977,0.6024691358024692,0.8138271604938272,1220,2025,0.00015753781353985822,0.0003525075794738016,0.0005853413946834611,0.0009785039336593063,0.0016677828188295717
SD-VAE,16,5,0.251406217808725,0.1701242685589331,0.21813140283227936,0.3595061728395062,0.6320987654320988,728,2025,0.0005094212131734849,0.000665769388646165,0.0008962375852795889,0.0012846392054615783,0.0020614186334020424
SD-VAE,16,10,0.21233806771403857,0.14358719988856983,0.18675924861787202,0.36493827160493825,0.6024691358024692,739,2025,0.0007459186271384013,0.000919057651802257,0.001165800076943767,0.0015942164232700558,0.0024634125320998827
SD-VAE,16,25,0.173874342370722,0.11722910582165233,0.1537503678334142,0.362962962962963,0.5703703703703704,735,2025,0.0012029481887816948,0.0014028307549746964,0.0016861743161707312,0.0021773010253905794,0.0031951174265072227
SD-VAE,16,81,0.1556403114592593,0.10494416075114539,0.14109522325248744,0.3674074074074074,0.5565432098765432,744,2025,0.0020556881220271683,0.0022980959879482805,0.00263869292015467,0.003233495201575505,0.004465934590693125
DC-AE,0,1,0.4707089329263239,0.33105797106334145,0.393123156082079,0.6454320987654321,0.8395061728395061,1307,2025,0.08247250022688582,0.1969600996247611,0.25093330958797655,0.32977627547511945,0.4148076599526034
DC-AE,0,5,0.16239815430334606,0.1097786980929834,0.1255516956487119,0.2637037037037037,0.5140740740740741,534,2025,0.25552638903283215,0.31941360399570917,0.34796264477933897,0.3915322962216506,0.442634937822491
DC-AE,0,10,0.13312002848815682,0.08979828284690043,0.09947207021180901,0.24790123456790122,0.48246913580246914,502,2025,0.3490829161997239,0.4049609360074224,0.4266853309895147,0.4621596008374549,0.5059173356618696
DC-AE,0,25,0.1204793032401995,0.08110291635793239,0.08795633657672443,0.24098765432098765,0.45382716049382715,488,2025,0.493499864588963,0.5420084404273265,0.5585262697257312,0.5860197710523855,0.6217624033932952
DC-AE,0,81,0.12078714549176006,0.08183274485616315,0.08405074038807045,0.3244444444444444,0.4804938271604938,657,2025,0.684339277117305,0.72189348627849,0.7345085937226372,0.7522514690156038,0.7735847650392608
DC-AE,4,1,0.6479327885588982,0.4647684928554378,0.5135197689624842,0.7150617283950618,0.8538271604938271,1448,2025,0.14038430162785967,0.3229066488800073,0.4618106537887474,0.6824466447633872,0.9167422635916059
DC-AE,4,5,0.40109349454026993,0.2759239560137364,0.35645018600500095,0.49679012345679013,0.7279012345679012,1006,2025,0.3810374702730296,0.4680141906389759,0.5353672697585848,0.6540008473371981,0.7882182250955393
DC-AE,4,10,0.33485138302211054,0.22967522576363714,0.3159897314260607,0.45925925925925926,0.6844444444444444,930,2025,0.47176844683694247,0.5442307099304066,0.5987878987960037,0.6985757849671059,0.8112244435579905
DC-AE,4,25,0.2864177428456549,0.19546337776487763,0.28371833365806753,0.4222222222222222,0.6454320987654321,855,2025,0.6004924088336803,0.6590993051657452,0.7022870884939784,0.7822038422502856,0.8715625109153797
DC-AE,4,81,0.2516848963820083,0.17153442958899554,0.25367821236428467,0.4760493827160494,0.6587654320987655,964,2025,0.7579937529518481,0.793643483023963,0.8203923304916708,0.8703749060336629,0.9276565427774861
DC-AE,5,1,0.6157050335426107,0.4365726325786557,0.4730773075128841,0.7417283950617284,0.8716049382716049,1502,2025,0.24836343768639146,0.540491683768838,0.722459794628147,0.940400198562285,1.1471050914126224
