layer,layer_name,gamma,spearman_rho,pval
0,relu1_1,3.384772855945983e-08,-0.21440344015778887,0.03593543023096624
0,relu1_1,3.447764054734464e-08,-0.2145247986743328,0.03582809254719246
0,relu1_1,3.5119275304507276e-08,-0.21445164534500635,0.03589276204638751
0,relu1_1,3.577285099367877e-08,-0.21261140277868723,0.03755209335039672
0,relu1_1,3.6438589837635405e-08,-0.21440271304481123,0.0359360741510568
0,relu1_1,3.711671819475767e-08,-0.21561605558217586,0.03487494191870729
0,relu1_1,3.780746663599349e-08,-0.21556033343098513,0.03492309058142102
0,relu1_1,3.851107002325569e-08,-0.21512020267190346,0.03530536697823666
0,relu1_1,3.9227767589277236e-08,-0.21425882657267176,0.036063688440228586
0,relu1_1,3.995780301895265e-08,-0.21450445106941254,0.0358460705511539
0,relu1_1,4.070142453219439e-08,-0.2152490699623397,0.03519307699465167
0,relu1_1,4.1458884968329114e-08,-0.2147471657785354,0.03563211408609528
0,relu1_1,4.223044187206672e-08,-0.21371405317417258,0.036550302659532866
0,relu1_1,4.3016357581067994e-08,-0.21495282735378965,0.03545166034578262
0,relu1_1,4.381689931514195e-08,-0.21518802756160674,0.03524622954388102
0,relu1_1,4.4632339267103976e-08,-0.21540579771105137,0.03505691482848645
0,relu1_1,4.546295469532399e-08,-0.2157381407976675,0.034769644872958604
0,relu1_1,4.630902801799737e-08,-0.21406213439253224,0.03623875144582871
0,relu1_1,4.717084690917022e-08,-0.2156906632138652,0.03481056193757927
0,relu1_1,4.804870439655134e-08,-0.21444049932468442,0.03590262401914128
0,relu1_1,4.8942898961145316e-08,-0.2155232931394434,0.034955127422483016
0,relu1_1,4.9853734638738935e-08,-0.21537720684981854,0.03508172098913096
0,relu1_1,5.0781521123276706e-08,-0.2153289993535149,0.03512358042834617
0,relu1_1,5.172657387216024e-08,-0.21594015152525659,0.034595999771187
0,relu1_1,5.268921421350677e-08,-0.21516840979203986,0.035263325984802474
0,relu1_1,5.366976945540476e-08,-0.2153047901962762,0.03514461749410284
0,relu1_1,5.4668572997201804e-08,-0.21651666113263288,0.03410444496398013
0,relu1_1,5.568596444286409e-08,-0.2164985163515983,0.034119825911068956
0,relu1_1,5.6722289716445493e-08,-0.2160690183786701,0.034485609164871554
0,relu1_1,5.777790117970507e-08,-0.2168090424255152,0.03385740244141937
0,relu1_1,5.885315775191451e-08,-0.2149695298762018,0.035437038787869926
0,relu1_1,5.99484250318941e-08,-0.2151751923040116,0.035257414392144706
0,relu1_1,6.106407542232036e-08,-0.2162853238120271,0.03430098207791441
0,relu1_1,6.220048825634717e-08,-0.21493029298073427,0.03547139519078885
0,relu1_1,6.335804992658255e-08,-0.2166869576240493,0.03396037220745718
0,relu1_1,6.453715401646702e-08,-0.21654910472056435,0.03407695775513043
0,relu1_1,6.573820143409585e-08,-0.21574951081754154,0.034759851978473436
0,relu1_1,6.696160054853215e-08,-0.2159801138784594,0.0345617352841802
0,relu1_1,6.820776732865692e-08,-0.21646607189530892,0.03414734293181478
0,relu1_1,6.94771254846024e-08,-0.2178821534861762,0.032963559906556916
0,relu1_1,7.077010661181889e-08,-0.2168211368065127,0.03384721601321511
0,relu1_1,7.208715033782136e-08,-0.2169047328568098,0.03377687816016542
0,relu1_1,7.342870447166758e-08,-0.2172159917637349,0.033516064884291444
0,relu1_1,7.479522515621828e-08,-0.21722882005939184,0.03350535213746673
0,relu1_1,7.618717702323e-08,-0.21796736966813368,0.03289343942327488
0,relu1_1,7.760503335133571e-08,-0.217200217037439,0.03352924210987739
0,relu1_1,7.90492762269642e-08,-0.21847605289074656,0.032477475917293566
0,relu1_1,8.05203967082547e-08,-0.21889656435477323,0.03213696834575194
0,relu1_1,8.201889499202212e-08,-0.2179877169970382,0.032876715135491744
0,relu1_1,8.354528058382872e-08,-0.2181241055673174,0.032764796709332605
0,relu1_1,8.510007247122247e-08,-0.21755437842591022,0.033234445560815486
0,relu1_1,8.668379930019774e-08,-0.2182876250210468,0.032631038363632354
0,relu1_1,8.829699955494083e-08,-0.2176485948486296,0.03315639029557124
0,relu1_1,8.994022174092053e-08,-0.21846248800481022,0.03248851046539987
0,relu1_1,9.161402457138521e-08,-0.21847001133174318,0.032482390118622195
0,relu1_1,9.331897715733239e-08,-0.2176757246205023,0.0331339428011514
0,relu1_1,9.505565920101191e-08,-0.21766289788141635,0.033144554201465774
0,relu1_1,9.682466119303114e-08,-0.21771568095496477,0.033100905761287096
0,relu1_1,9.86265846131283e-08,-0.21916786207350009,0.03191888751618788
0,relu1_1,1.0046204213468132e-07,-0.21747372634460738,0.03330138605962621
0,relu1_1,1.023316578330245e-07,-0.21747225133145717,0.033302611363416106
0,relu1_1,1.0423606739764012e-07,-0.21870739764066285,0.032289771039609366
0,relu1_1,1.061759183482999e-07,-0.21743524357275618,0.03333336639371473
0,relu1_1,1.0815187025522893e-07,-0.2172484307135075,0.03348898109958859
0,relu1_1,1.1016459496336569e-07,-0.21726877804241201,0.03347200220050104
0,relu1_1,1.1221477682079802e-07,-0.2174662063683115,0.033307633353315755
0,relu1_1,1.1430311291144787e-07,-0.2171745603316388,0.033550683439821066
0,relu1_1,1.1643031329208756e-07,-0.21722882005939184,0.03350535213746673
0,relu1_1,1.1859710123376706e-07,-0.2181497558328812,0.0327437843844849
0,relu1_1,1.208042134677329e-07,-0.21730873575691811,0.033438680432262356
0,relu1_1,1.2305240043592615e-07,-0.21730873575691811,0.033438680432262356
0,relu1_1,1.2534242654613995e-07,-0.21808341077150262,0.03279815660325134
0,relu1_1,1.2767507043192645e-07,-0.21788067568282707,0.03296477703282906
0,relu1_1,1.3005112521734099e-07,-0.21843005728942366,0.03251490449726042
0,relu1_1,1.3247139878661174e-07,-0.2176025936350436,0.03319448150935491
0,relu1_1,1.3493671405883065e-07,-0.21821906009088526,0.03268706811444753
0,relu1_1,1.3744790926775367e-07,-0.2168618314643217,0.03381296008453029
0,relu1_1,1.400058382468096e-07,-0.2168889612361944,0.033790139007063784
0,relu1_1,1.4261137071941298e-07,-0.21618285404232235,0.0343883410944866
