metric_label,backbone,layer_name,gamma_str,group_idx,mos_r_mean,mos_r_min,mos_r_max,mmd_score
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,28,72.42942150136365,72.09644175681818,72.89617321363636,2.902810592786409e-05
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,29,73.34774863416665,73.03390340545455,73.53120189545454,8.305467417812906e-06
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,30,74.01024421901515,73.63946159545455,74.38583995454546,7.900989658082835e-06
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,31,74.94433337537879,74.46433656818182,75.21942449545455,7.699924935877789e-06
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,32,75.49502602753789,75.2494860690909,75.78166525454546,8.446279025520198e-06
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,33,76.12141632132575,75.79512009954546,76.35414479090909,8.22654055809835e-06
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,34,76.64746932647726,76.39021483181818,76.91644974545454,1.0256218047288712e-05
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,35,77.45268438924242,76.98329391227273,77.9733424409091,6.917886821611319e-06
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,36,78.41772790810606,78.0566007590909,78.63007529545455,1.120874185289722e-05
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,37,79.48953130329545,78.86957993181818,79.94757872272727,8.727609383640811e-06
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,38,80.64653269242426,80.02392345454545,81.46314962272727,1.1468300726846792e-05
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,39,82.37413252424243,81.49191450454545,83.32162666818182,7.227562036860036e-06
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,40,85.29802349882574,83.35334443181819,87.81027129545454,1.2304835763643496e-05
MMD_dinov2_vitb14_l5_g1.00e-04,dinov2_vitb14,blocks.4,1.00e-04,1,15.013606067500001,10.383351573636363,17.49981897681818,-6.109655142916282e-11
MMD_dinov2_vitb14_l5_g1.00e-04,dinov2_vitb14,blocks.4,1.00e-04,2,20.849828797007575,18.01987185318182,23.073138160909092,-6.109657918473843e-11
