label,gamma_tag,gamma_val,group_idx,mos_mean,mos_min,mos_max,mmd_score
SD_VAE_L11_50x_median,50x_median,1.0755e-04,22,78.78088833706818,78.0566007590909,79.62850745318183,4.464779522095341e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,23,80.66911940068182,79.6499864090909,81.66778405000001,2.923871943494305e-05
SD_VAE_L11_50x_median,50x_median,1.0755e-04,24,84.28556101838639,82.0783984909091,87.81027129545454,1.3850703908246942e-05
SD_VAE_L11_100x_median,100x_median,2.1510e-04,1,16.95693878915909,10.383351573636363,22.207954510454545,1.404574323515817e-08
SD_VAE_L11_100x_median,100x_median,2.1510e-04,2,25.384277235181816,22.336504287727273,28.008295531363636,4.805427167298149e-10
SD_VAE_L11_100x_median,100x_median,2.1510e-04,3,32.564517177545454,28.427649107272728,37.183868766818186,3.4108641244756654e-08
SD_VAE_L11_100x_median,100x_median,2.1510e-04,4,41.308731939454546,37.586910895,44.68483293727273,1.1281382050754019e-08
SD_VAE_L11_100x_median,100x_median,2.1510e-04,5,46.53733109702273,45.014271393181815,47.997159330454544,2.1351826973159405e-08
SD_VAE_L11_100x_median,100x_median,2.1510e-04,6,50.52104208968181,48.745656067727275,51.78909724363636,1.4188167973827603e-08
SD_VAE_L11_100x_median,100x_median,2.1510e-04,7,53.22065402256818,51.85205774272727,54.72388539863636,9.689936852907977e-09
SD_VAE_L11_100x_median,100x_median,2.1510e-04,8,56.40858111559091,55.23867115454546,57.06027285454545,9.58913659587779e-09
SD_VAE_L11_100x_median,100x_median,2.1510e-04,9,58.50204308436364,57.08577673045454,59.61907620909091,9.515678911498071e-09
SD_VAE_L11_100x_median,100x_median,2.1510e-04,10,61.05352392104545,59.64024705,62.140166177272725,1.495153334474253e-08
SD_VAE_L11_100x_median,100x_median,2.1510e-04,11,63.095493819545446,62.30800517363637,63.89873966363636,1.9541994689120656e-08
SD_VAE_L11_100x_median,100x_median,2.1510e-04,12,64.4859051594091,63.92419218818182,65.15700578272727,9.977206616440526e-09
SD_VAE_L11_100x_median,100x_median,2.1510e-04,13,66.35020378895454,65.26560826818182,67.33497136227273,5.971843464180893e-09
SD_VAE_L11_100x_median,100x_median,2.1510e-04,14,68.21910480834092,67.50431248636363,69.04567613727274,1.4818224869372898e-08
SD_VAE_L11_100x_median,100x_median,2.1510e-04,15,69.57423877711364,69.05974111818182,70.20511073181818,4.934982200666127e-09
SD_VAE_L11_100x_median,100x_median,2.1510e-04,16,70.88703553449999,70.32331571818182,71.36296618181818,1.494789003686492e-08
SD_VAE_L11_100x_median,100x_median,2.1510e-04,17,72.44388955404546,71.46931471818182,73.33471177272727,1.966824214605367e-08
SD_VAE_L11_100x_median,100x_median,2.1510e-04,18,73.78349232913637,73.33981687045456,74.38583995454546,4.728275104781687e-09
SD_VAE_L11_100x_median,100x_median,2.1510e-04,19,75.11938361220454,74.46433656818182,75.54217925454545,9.737431305723021e-09
SD_VAE_L11_100x_median,100x_median,2.1510e-04,20,76.11229095795454,75.65154605454546,76.5471795409091,9.944545631412893e-09
SD_VAE_L11_100x_median,100x_median,2.1510e-04,21,77.16488309381819,76.59774437272728,77.9733424409091,9.559047775553609e-09
SD_VAE_L11_100x_median,100x_median,2.1510e-04,22,78.78088833706818,78.0566007590909,79.62850745318183,1.4702048467540862e-08
SD_VAE_L11_100x_median,100x_median,2.1510e-04,23,80.66911940068182,79.6499864090909,81.66778405000001,1.1999703986020904e-07
SD_VAE_L11_100x_median,100x_median,2.1510e-04,24,84.28556101838639,82.0783984909091,87.81027129545454,2.4278593357962563e-08
