label,gamma_tag,gamma_val,group_idx,mos_mean,mos_min,mos_max,mmd_score
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,13,66.35020378895454,65.26560826818182,67.33497136227273,3.0291317898445413e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,14,68.21910480834092,67.50431248636363,69.04567613727274,3.169060747154617e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,15,69.57423877711364,69.05974111818182,70.20511073181818,3.169535389702105e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,16,70.88703553449999,70.32331571818182,71.36296618181818,2.9968322934337266e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,17,72.44388955404546,71.46931471818182,73.33471177272727,1.2150637473951065e-07
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,18,73.78349232913637,73.33981687045456,74.38583995454546,2.9681286761729098e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,19,75.11938361220454,74.46433656818182,75.54217925454545,3.618580990405462e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,20,76.11229095795454,75.65154605454546,76.5471795409091,3.074673671221717e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,21,77.16488309381819,76.59774437272728,77.9733424409091,3.158611860953897e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,22,78.78088833706818,78.0566007590909,79.62850745318183,4.3835502339106824e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,23,80.66911940068182,79.6499864090909,81.66778405000001,3.5508961104824266e-07
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,24,84.28556101838639,82.0783984909091,87.81027129545454,3.356785072128332e-08
